player_name,team_name,position,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,id,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalShots,totalAppearances,touches,wasFouled,yellowCards,yellowRedCards
Tammy Abraham,Aston Villa,F,1,0,0,10,0,0,16,9,25,56.81818182,5,45.45454545,6,12,0,0,0,6,1,3,3,0,3,0,0,1,2,11,0,0,0.36373099,2.0433,2,0,22.22222222,0,2,2,,5,50,0,0,1,2623416,19,0,4,0,2,294,0,0,0,0,0,0,0,0,0,0,0,25,1,0,6.6,0,2,0,0,0,0,0,0,147,0,0,8,1,3,3,1,100,0,4,2,50,4,4,1,1,10,47.61904762,2,30,14,44,9,0,75,0,0,0
Ian Maatsen,Aston Villa,D,11,11,22,200,25,69.44444444,304,263,567,85.90909091,16,59.25925926,11,27,1,0,0,75,4,1,5,2,54,0,0,22,22,95,0,1,2.26113329,1.2366,15,0,0,0,0,1,,72,46.15384615,0,0,0,2163589,93,15,23,0,15,1437,1,0,0,0,0,0,0,0,0,0,0,250,3,0,6.6,0,0,0,0,0,0,0,0,0,0,0,12,6,8,5,18,41.86046512,0,36,28,77.77777778,23,32,43,50,88,48.08743169,36,364,296,660,18,0,1144,18,2,0
Alysson,Aston Villa,M,0,0,0,9,0,0,10,4,14,82.35294118,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.04564256,0.0455,0,0,0,0,0,0,,3,100,0,0,0,2670410,3,1,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,100,0,0,0,0,0,0,2,2,3,100,1,13,4,17,1,0,30,1,0,0
George Hemmings,Aston Villa,M,0,0,0,3,1,100,12,5,17,100,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.00926846,0.0381,1,0,0,0,0,0,,0,0,0,0,0,2558250,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,5,17,1,0,20,0,0,0
Jamaldeen Jimoh,Aston Villa,M,0,0,0,1,0,0,2,4,6,85.71428571,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.00260031,,0,0,0,0,0,0,,1,50,0,0,0,2558252,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,50,0,2,5,7,0,0,11,1,0,0
Lamare Bogarde,Aston Villa,M,4,1,50,93,6,37.5,201,224,425,89.66244726,9,37.5,15,26,0,0,0,39,0,0,0,1,20,0,0,9,5,51,1,2,0.20190355,,17,0,0,0,0,0,,45,55.55555556,0,0,0,2163597,49,4,2,0,10,1021,0,6,0,0,0,0,0,0,0,0,0,81,2,0,6.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28.57142857,0,25,17,68,2,9,7,2,54,51.42857143,16,231,243,474,0,0,625,18,5,0
Harvey Elliott,Aston Villa,M,0,1,33.33333333,41,1,20,59,10,69,84.14634146,1,50,1,5,0,0,0,4,0,0,4,0,1,0,0,0,0,2,0,0,0.09142751,0.291,0,0,0,0,0,0,,2,66.66666667,0,0,0,2176554,13,0,1,0,1,117,0,1,0,0,0,0,0,0,0,0,0,18,1,0,6.52,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,1,4,1,3,3,60,5,69,13,82,5,0,103,2,0,0
Marco Bizot,Aston Villa,G,13,0,0,2,26,37.14285714,14,140,154,77.77777778,1,100,0,6,0,0,0,50,0,0,0,1,7,0,0,0,0,1,1,0,0.00277412,,1,0,0,25,0,0,-0.9326,1,50,0,7,0,2135783,44,0,0,0,5,495,0,0,0,0,0,1,0,1,0,0,0,45,0,3,6.5,0,0,9,9,7,17,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,20,0,0,2,66.66666667,70,47,151,198,0,1,262,1,2,0
Andrés García,Aston Villa,D,0,0,0,5,0,0,15,10,25,100,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,1,1,3,0,0,0.01416046,,0,0,0,0,0,0,,1,25,0,0,0,2558248,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,1,4,1,25,0,15,10,25,0,0,39,0,0,0
Bradley Burrowes,Aston Villa,M,0,0,0,1,0,0,1,2,3,60,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0.00093143,,0,0,0,0,0,0,,1,33.33333333,0,0,0,2199203,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,33.33333333,0,2,3,5,0,0,12,1,0,0
Marcos Senesi,Bournemouth,D,137,8,32,302,164,37.52860412,707,932,1639,77.4208786,88,48.61878453,93,34,5,0,0,141,7,2,4,9,237,0,0,13,26,163,0,2,4.59761469,1.5218,31,0,0,75,0,5,,98,58.33333333,0,0,1,2134415,478,53,24,0,34,3020,1,42,0,0,0,0,0,0,0,0,1,556,2,0,7.214705882,0,0,0,0,0,0,0,0,0,0,0,10,7,8,5,6,75,0,59,32,54.23728814,24,316,8,25,186,53.29512894,437,1067,1050,2117,17,4,2743,34,8,0
Alex Scott,Bournemouth,M,46,14,17.07317073,254,49,41.17647059,570,539,1109,84.72116119,34,53.96825397,29,35,1,0,0,176,4,2,14,6,74,0,0,25,22,138,0,1,2.92852875,3.8057,40,0,6.818181818,0,3,4,,140,56.2248996,0,0,1,2134459,200,36,27,2,32,2680,1,14,0,1,0,1,0,0,0,0,0,364,13,0,7.064705882,0,1,0,0,0,0,0,0,893.3333333,0,2,16,28,17,13,28,54.90196078,0,56,36,64.28571429,26,104,51,82,174,55.76923077,119,728,581,1309,44,3,1891,57,4,0
Rayan,Bournemouth,M,8,3,14.28571429,83,9,60,144,57,201,77.60617761,23,45.09803922,28,12,2,0,0,33,3,0,9,1,12,0,0,8,7,65,0,0,1.7648413,2.1769,6,0,17.39130435,0,4,6,,25,40.32258065,1,0,2,2619323,58,5,12,0,10,883,1,0,0,0,0,1,0,0,0,0,0,127,7,0,7.058333333,0,3,0,0,0,0,0,0,220.75,0,0,12,11,7,7,10,37.03703704,0,10,7,70,12,12,27,21,48,42.47787611,15,197,62,259,23,0,432,5,1,0
James Hill,Bournemouth,D,18,2,18.18181818,71,45,29.60526316,219,453,672,76.62485747,102,66.23376623,52,26,3,0,0,69,2,1,1,5,149,0,0,4,11,77,0,2,1.13292688,0.7951,11,0,0,4,0,3,,49,66.21621622,0,0,1,2134425,205,35,11,0,19,1850,2,14,2,0,0,0,0,0,0,0,0,292,1,0,7,0,0,0,0,0,0,0,0,0,0,0,8,3,8,2,2,100,0,37,20,54.05405405,11,74,2,11,151,66.22807018,152,379,498,877,11,2,1295,12,3,0
Lewis Cook,Bournemouth,M,13,10,22.72727273,85,25,46.2962963,244,179,423,86.32653061,9,36,16,16,1,0,0,62,0,0,1,1,26,0,1,3,6,34,0,0,0.53525895,0.077,8,0,0,0,0,1,,33,64.70588235,0,0,0,2261019,67,24,11,0,8,892,0,6,0,0,0,0,0,0,0,0,0,118,5,0,6.88,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,75,0,25,16,64,11,28,4,44,42,55.26315789,54,300,190,490,3,0,674,5,1,0
Đorđe Petrović,Bournemouth,G,43,0,0,25,139,32.02764977,90,438,528,63.8452237,19,100,0,35,0,0,0,258,0,0,0,10,60,2,0,0,3,3,2,2,0.02206197,,0,0,0,193,0,0,-2.655,3,50,0,30,0,2134423,299,0,0,0,35,3150,0,0,1,0,0,0,0,6,0,0,0,307,0,33,6.86,0,0,23,63,35,101,2,24,0,0,0,0,0,0,0,0,0,21,0,0,0,0,89,0,0,22,88,434,354,473,827,0,1,1211,2,3,0
Tyler Adams,Bournemouth,M,12,2,66.66666667,162,27,46.55172414,396,370,766,86.84807256,23,52.27272727,21,22,2,0,0,81,1,0,2,4,36,0,0,9,17,81,0,1,0.57458055,0.5822,29,0,22.22222222,0,2,4,,56,48.27586207,0,0,0,2134463,116,29,6,0,19,1551,1,7,0,0,0,0,0,0,0,0,0,155,6,0,6.828571429,0,2,0,0,0,0,0,0,775.5,0,0,4,5,1,6,5,45.45454545,0,42,19,45.23809524,6,23,11,3,79,49.375,58,473,409,882,9,0,1137,12,7,0
Álex Jiménez,Bournemouth,D,30,11,21.56862745,217,41,46.59090909,387,309,696,80.1843318,13,37.14285714,22,31,0,0,0,135,2,0,9,3,41,0,0,20,23,136,0,0,1.61171645,1.1306,35,0,4.761904762,0,1,1,,128,52.89256198,0,0,0,2261021,172,27,14,0,26,2330,0,11,0,0,0,1,0,0,0,0,0,334,10,0,6.825806452,0,1,0,0,0,0,0,0,2330,0,0,9,12,8,4,39,52,0,69,48,69.56521739,14,56,75,51,141,50.90252708,88,508,360,868,21,0,1468,20,10,0
Eli Junior Kroupi,Bournemouth,F,11,1,10,98,13,65,176,112,288,74.41860465,8,27.5862069,21,30,0,0,0,56,3,3,15,0,31,0,0,17,8,89,0,1,1.28027418,7.901,23,0,27.90697674,0,12,12,,34,33.33333333,1,0,0,2134449,99,8,21,2,18,1462,4,0,0,0,2,0,100,0,2,0,0,186,19,0,6.817241379,0,9,0,0,0,0,0,0,121.8333333,0,0,30,13,8,20,14,41.17647059,0,9,6,66.66666667,21,19,34,10,42,32.0610687,20,252,135,387,43,1,636,11,5,0
Veljko Milosavljević,Bournemouth,D,6,0,0,19,8,30.76923077,47,113,160,84.21052632,11,40.74074074,16,7,0,0,0,13,0,1,0,1,25,0,0,1,2,19,0,0,0.19614632,0.1513,0,0,0,0,0,0,,6,66.66666667,0,0,0,2261028,30,4,1,0,4,375,0,5,0,0,0,0,0,0,0,0,0,34,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,100,0,5,4,80,1,17,1,0,17,47.22222222,26,70,120,190,1,0,248,0,0,0
Amine Adli,Bournemouth,F,8,2,5,127,2,20,196,117,313,77.09359606,30,53.57142857,26,29,1,0,0,60,1,3,6,0,17,0,0,9,7,79,0,0,1.61579027,2.6012,26,0,15,0,3,4,,64,54.7008547,1,0,1,2163518,93,6,16,2,10,1077,4,2,0,0,0,0,0,0,0,0,1,174,5,0,6.778571429,0,0,0,0,0,0,0,0,359,0,1,13,7,5,9,8,38.0952381,0,34,15,44.11764706,16,13,21,40,94,54.33526012,10,270,136,406,20,1,657,22,2,0
Ryan Christie,Bournemouth,M,25,3,18.75,136,23,40.35087719,255,149,404,77.84200385,13,48.14814815,14,25,0,0,0,60,2,1,10,0,17,0,0,15,14,78,0,1,0.80028077,1.9194,16,0,8,0,2,2,,64,50,0,0,0,2163506,115,11,10,1,8,945,1,4,0,0,0,1,0,0,0,0,0,186,11,0,6.76,0,1,0,0,0,0,0,0,472.5,0,0,9,16,7,8,19,48.71794872,0,26,16,61.53846154,10,51,39,16,77,49.67741935,57,344,175,519,25,0,746,20,3,0
Adrien Truffert,Bournemouth,D,30,30,22.05882353,330,35,30.97345133,637,557,1194,83.26359833,44,44.89795918,54,35,3,0,0,173,4,0,5,10,138,0,0,24,28,181,1,2,2.6047277,0.9877,37,0,7.142857143,0,1,4,,148,53.81818182,0,0,0,2134435,240,47,25,1,35,3110,0,10,0,0,0,0,0,0,0,0,0,477,6,0,6.731428571,0,0,0,0,0,0,0,0,3110,0,0,6,8,5,4,28,42.42424242,0,90,48,53.33333333,25,70,66,136,192,51.47453083,113,798,636,1434,14,1,2408,30,4,0
Marcus Tavernier,Bournemouth,M,17,16,16,374,27,38.57142857,600,233,833,83.13373253,23,37.70491803,38,31,4,0,0,139,6,8,18,4,35,0,0,39,16,168,0,0,3.88722472,8.601,29,1,9.375,0,6,10,,105,44.68085106,0,0,4,2134413,169,15,44,5,28,2480,4,5,0,1,2,0,100,0,2,0,0,423,21,0,6.729032258,0,1,0,0,0,0,0,0,413.3333333,16.66666667,6,29,35,25,21,36,42.85714286,0,36,20,55.55555556,43,40,84,100,128,43.24324324,70,736,266,1002,64,0,1601,33,5,0
David Brooks,Bournemouth,M,14,11,18.6440678,163,12,46.15384615,257,83,340,77.27272727,6,33.33333333,12,29,3,0,0,55,8,9,17,0,15,0,0,9,19,73,0,0,3.29284613,5.1851,11,0,2.173913043,0,1,4,,46,42.99065421,0,0,1,2134437,100,4,25,1,13,1196,2,0,0,0,0,0,0,0,0,0,0,214,7,0,6.668965517,0,0,0,0,0,0,0,0,1196,0,2,34,12,17,12,16,42.10526316,0,17,11,64.70588235,25,28,38,59,52,41.6,26,336,104,440,46,0,715,13,7,0
Bafodé Diakité,Bournemouth,D,14,0,0,85,34,47.22222222,244,415,659,87.98397864,35,49.29577465,36,18,0,0,0,48,0,0,0,4,83,0,0,1,3,51,0,1,0.18310612,0.0185,8,0,0,2,0,0,,25,62.5,0,0,0,2134419,90,12,3,0,15,1286,2,5,0,0,0,1,0,0,0,0,0,100,2,0,6.629411765,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,20,15,75,3,28,3,1,60,54.05405405,72,308,441,749,1,0,922,5,1,0
Evanilson,Bournemouth,F,7,0,0,126,4,50,214,111,325,75.40603248,44,34.375,84,33,1,0,0,73,3,9,11,2,27,0,0,38,8,166,0,1,1.43058255,9.7478,24,0,9.230769231,0,6,7,,56,40.57971014,2,0,2,2134421,106,6,30,2,29,2554,28,4,0,0,0,0,0,0,0,0,2,230,15,0,6.593939394,0,2,0,0,0,0,0,0,425.6666667,0,0,60,5,32,22,14,48.27586207,0,10,4,40,30,13,29,4,100,37.59398496,8,298,133,431,65,0,772,32,2,0
Justin Kluivert,Bournemouth,M,8,8,19.04761905,133,12,75,193,78,271,81.62650602,6,21.42857143,22,18,0,0,0,44,3,1,5,0,2,0,0,15,9,74,0,0,1.52075206,2.2492,15,0,12.5,0,2,2,,30,36.58536585,0,0,1,2163514,61,4,21,0,10,920,2,1,0,0,0,0,0,0,0,0,0,148,10,0,6.577777778,0,2,0,0,0,0,0,0,460,0,3,5,11,7,4,11,44,0,10,6,60,21,14,25,42,36,32.72727273,16,239,93,332,16,0,510,9,4,0
Hamed Junior Traorè,Bournemouth,M,0,0,0,0,0,0,0,2,2,100,0,0,2,1,1,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,1.05E-05,,0,0,0,0,0,1,,1,50,0,0,0,2134455,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,25,0,0,2,2,0,0,7,0,0,0
Ben Gannon-Doak,Bournemouth,M,0,0,0,11,0,0,22,8,30,78.94736842,1,33.33333333,2,7,1,0,0,4,1,0,1,0,0,0,0,0,2,13,0,0,0.09187773,0.0863,3,0,0,0,0,1,,7,38.88888889,0,0,0,2316639,8,1,1,0,0,89,0,0,0,0,0,0,0,0,0,0,0,19,0,0,6.485714286,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,14.28571429,0,5,1,20,1,0,7,2,8,38.0952381,1,29,9,38,1,0,64,1,0,0
Alex Tóth,Bournemouth,M,1,0,0,7,0,0,17,7,24,82.75862069,0,0,1,7,0,0,0,5,0,0,0,0,2,0,0,0,3,8,0,0,0.25010187,0.0565,1,0,0,0,0,0,,3,30,0,0,0,2608132,5,2,3,0,1,127,0,0,0,0,0,0,0,0,0,0,0,14,1,0,6.471428571,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,1,3,3,3,27.27272727,0,21,8,29,1,0,49,2,1,0
Enes Ünal,Bournemouth,F,0,0,0,11,0,0,18,11,29,65.90909091,7,20,28,20,0,0,0,5,0,2,4,0,10,0,0,7,0,44,0,0,0.06224973,1.894,6,0,7.692307692,0,1,1,,7,30.43478261,0,0,0,2395076,15,0,0,1,0,223,2,0,0,0,0,0,0,0,0,0,0,37,1,0,6.45625,0,0,0,0,0,0,0,0,223,0,4,9,4,7,2,1,25,0,1,1,100,0,0,4,2,14,24.13793103,0,33,11,44,13,0,107,6,1,0
Adam Smith,Bournemouth,D,7,1,10,54,9,20,106,95,201,75.8490566,12,50,12,19,1,0,0,22,1,0,0,3,29,0,0,1,8,33,0,0,0.22420607,,14,0,0,0,0,1,,19,47.5,0,0,0,2134431,64,6,4,0,11,827,0,6,0,0,0,0,0,0,0,0,0,92,0,0,6.44375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,12,10,83.33333333,4,21,1,10,31,48.4375,45,158,107,265,0,0,412,7,3,0
Ben Winterburn,Bournemouth,M,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,,0,0,0,0,0,2134469,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0
Julio Soler,Bournemouth,D,0,0,0,4,0,0,15,5,20,86.95652174,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,1,3,0,0,0.00502714,,2,0,0,0,0,0,,3,50,0,0,0,2261017,3,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,50,2,16,7,23,0,0,31,2,0,0
Mikkel Damsgaard,Brentford,M,42,25,27.77777778,288,32,39.50617284,463,203,666,77.35191638,17,38.63636364,27,30,4,0,0,122,12,3,5,3,14,0,0,31,40,144,0,1,4.77640038,2.5888,19,0,14.28571429,0,4,8,,85,42.07920792,1,0,1,2163585,195,22,38,0,22,1902,3,3,0,0,0,0,0,0,0,0,0,382,23,0,7.01,0,3,0,0,0,0,0,0,475.5,0,1,17,11,12,11,15,34.09090909,0,50,30,60,38,83,44,90,102,41.46341463,81,624,237,861,28,2,1291,21,0,0
Mathias Jensen,Brentford,M,88,37,31.62393162,274,88,56.77419355,499,323,822,81.6285998,7,25.92592593,20,33,1,0,0,101,11,2,9,4,30,0,0,20,27,99,0,2,5.74924033,2.2193,18,0,11.11111111,0,3,4,,68,46.2585034,0,0,1,2143700,185,18,31,0,23,2041,2,4,0,2,0,0,0,0,0,0,0,354,7,0,7.003030303,0,3,0,0,0,0,0,0,680.3333333,0,2,9,18,10,8,18,56.25,0,38,23,60.52631579,29,143,32,117,75,43.10344828,155,643,364,1007,27,0,1443,12,3,0
Caoimhin Kelleher,Brentford,G,40,0,0,47,233,36.34945398,163,618,781,65.57514694,5,71.42857143,2,34,0,0,0,263,0,0,0,10,41,0,0,0,1,5,1,1,0.24851836,,2,0,0,172,0,0,-2.2571,9,75,0,20,0,2143736,410,1,3,0,34,3060,0,0,0,1,0,2,0,7,0,3,0,420,0,27,6.997058824,0,0,14,55,35,93,1,17,0,0,0,0,0,0,0,3,100,14,1,0,0,2,77,3,0,14,73.68421053,641,517,674,1191,0,1,1525,6,1,0
Vitaly Janelt,Brentford,M,37,16,30.18867925,145,40,49.38271605,304,317,621,86.4902507,23,65.71428571,12,22,4,0,0,74,6,1,3,4,30,0,0,5,16,56,1,0,1.87983045,0.9081,17,0,8.333333333,0,1,5,,38,46.34146341,1,0,1,2292049,97,29,19,0,13,1267,0,8,0,0,0,0,0,0,0,0,0,160,5,0,6.986363636,0,0,0,0,0,0,0,0,1267,0,0,6,6,6,3,4,40,0,24,15,62.5,19,65,10,53,61,52.13675214,81,374,344,718,12,2,964,12,7,0
Igor Thiago,Brentford,F,26,7,46.66666667,135,12,57.14285714,239,164,403,69.36316695,104,38.37638376,167,35,1,0,1,89,5,19,16,9,58,0,0,40,14,295,0,2,1.81774239,20.22,64,0,27.84810127,0,22,23,,85,39.90610329,2,0,2,2143738,178,11,22,6,34,3014,22,5,0,0,9,0,88.88888889,0,8,0,0,355,15,0,6.974285714,0,14,0,0,0,0,0,0,137,0,0,75,4,22,41,29,59.18367347,0,34,20,58.82352941,22,37,49,15,189,39.04958678,21,379,202,581,79,6,1117,24,7,0
Michael Kayode,Brentford,D,23,14,26.41509434,177,34,43.58974359,380,527,907,85.16431925,40,60.60606061,26,34,1,0,0,153,4,1,4,8,95,0,0,30,18,140,1,2,2.72146603,1.1757,23,0,11.11111111,0,1,2,,156,57.77777778,1,0,0,2143694,158,37,33,0,34,2994,1,12,1,1,0,2,0,0,0,0,0,482,5,0,6.897058824,0,0,0,0,0,0,0,0,2994,0,0,8,1,2,3,48,51.06382979,0,61,41,67.21311475,32,39,94,53,196,58.33333333,78,478,587,1065,9,0,2035,47,7,0
Dango Ouattara,Brentford,M,12,18,17.82178218,118,16,44.44444444,201,81,282,62.80623608,46,47.91666667,50,29,3,0,0,82,11,12,14,1,47,0,0,27,17,173,0,0,3.94025209,6.2739,26,0,10.41666667,0,5,8,,79,39.10891089,0,0,1,2163576,167,23,25,5,23,2077,8,0,0,0,0,0,0,0,0,0,5,405,9,0,6.831034483,0,0,0,0,0,0,0,0,415.4,0,0,37,11,17,17,21,28,0,23,12,52.17391304,25,28,75,101,125,41.94630872,36,335,114,449,48,2,984,35,5,0
Sepp van den Berg,Brentford,D,20,0,0,94,53,51.96078431,319,905,1224,88.43930636,135,67.83919598,64,30,1,0,0,106,4,4,3,8,185,0,0,4,6,87,2,2,0.96942579,2.9434,14,0,0,29,0,1,,31,57.40740741,0,0,0,2143698,160,29,6,0,29,2663,0,22,0,0,0,0,0,0,0,0,0,179,1,0,6.823333333,0,0,0,0,0,0,0,0,0,0,0,21,1,12,7,1,100,0,19,8,42.10526316,6,38,1,0,166,65.61264822,102,427,957,1384,22,0,1754,11,2,0
Jordan Henderson,Brentford,M,64,16,35.55555556,189,69,37.5,387,456,843,77.69585253,11,37.93103448,18,29,3,0,0,94,8,0,2,3,34,0,0,6,8,50,0,0,2.39206751,0.3319,13,0,16.66666667,0,1,4,,34,51.51515152,0,0,0,2143724,242,17,18,0,21,1831,1,7,0,0,0,0,0,0,0,0,0,301,6,0,6.820689655,0,1,0,0,0,0,0,0,1831,0,0,2,4,3,1,3,37.5,0,26,12,46.15384615,18,160,8,45,45,47.36842105,184,581,504,1085,6,0,1303,7,4,0
Kevin Schade,Brentford,M,9,5,23.80952381,140,6,37.5,237,102,339,68.34677419,81,51.59235669,76,32,3,0,1,90,7,13,10,5,28,0,1,44,9,217,0,0,2.07518016,11.0558,43,0,13.7254902,0,7,10,,99,41.25,2,0,4,2143742,157,18,29,1,30,2550,9,3,0,1,1,0,0,0,0,0,2,357,10,0,6.79375,1,4,0,0,0,0,0,0,364.2857143,0,0,50,1,19,22,20,29.41176471,0,38,23,60.52631579,28,22,68,21,180,45.34005038,16,362,134,496,51,1,1012,42,6,0
Nathan Collins,Brentford,D,39,1,100,116,86,37.55458515,377,956,1333,83.10473815,79,53.7414966,68,32,2,0,0,123,4,4,3,9,190,0,0,9,8,106,1,2,1.2758542,2.1754,19,0,5.263157895,58,1,3,,47,55.29411765,1,0,1,2143732,271,34,10,0,29,2702,2,36,1,0,0,1,0,0,0,0,1,305,1,0,6.75625,0,0,0,0,0,0,0,0,2702,0,0,18,1,10,6,3,50,0,27,12,44.44444444,10,94,6,1,126,54.31034483,229,574,1030,1604,19,1,2043,17,6,0
Ethan Pinnock,Brentford,D,6,0,0,9,9,50,23,87,110,82.70676692,13,56.52173913,10,4,0,0,0,11,0,0,0,1,27,0,0,1,3,14,0,0,0.06031063,0.0106,0,0,0,1,0,0,,7,63.63636364,0,0,0,2263389,23,5,0,0,4,321,0,5,1,0,0,0,0,0,0,0,0,27,0,0,6.725,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,100,0,5,4,80,0,14,1,0,20,58.82352941,18,40,93,133,1,0,196,2,1,0
Yehor Yarmoliuk,Brentford,M,42,8,27.5862069,210,60,46.51162791,487,572,1059,84.11437649,29,52.72727273,26,35,2,0,0,175,1,0,4,6,35,0,0,22,38,149,0,1,1.34076693,1.2018,37,0,6.25,0,1,3,,90,42.25352113,0,0,1,2143720,200,27,15,0,28,2507,1,11,0,1,0,0,0,0,0,0,0,310,13,0,6.717142857,0,1,0,0,0,0,0,0,2507,0,0,7,9,8,4,14,35,0,64,41,64.0625,14,96,40,29,119,44.40298507,129,639,620,1259,16,0,1664,12,7,0
Antoni Milambo,Brentford,M,0,0,0,3,0,0,5,3,8,72.72727273,2,66.66666667,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0.0116086,,0,0,0,0,0,0,,3,100,0,0,0,2143702,3,0,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,33.33333333,0,0,0,0,5,83.33333333,0,7,4,11,0,0,19,0,0,0
Keane Lewis-Potter,Brentford,D,17,21,34.42622951,129,17,26.15384615,207,158,365,76.84210526,11,28.94736842,27,33,3,0,0,80,6,2,10,5,32,0,0,15,9,93,1,0,2.29637744,2.912,15,0,10.71428571,0,3,6,,65,49.61832061,1,0,2,2143704,110,9,18,1,19,1721,3,1,0,0,0,0,0,0,0,0,0,233,6,0,6.66969697,0,1,0,0,0,0,0,0,573.6666667,0,6,18,10,9,9,15,35.71428571,0,19,11,57.89473684,18,39,42,61,76,44.9704142,65,287,188,475,28,1,849,31,1,0
Fabio Carvalho,Brentford,F,1,1,20,5,2,100,10,10,20,80,1,25,3,6,0,0,0,5,0,0,0,0,0,0,0,1,0,6,0,0,0.03116271,0.6992,0,0,50,0,1,1,,4,57.14285714,0,0,0,2143718,5,0,0,0,1,128,0,0,0,0,0,0,0,0,0,0,0,14,1,0,6.66,0,1,0,0,0,0,0,0,128,0,0,1,1,1,1,1,33.33333333,0,3,2,66.66666667,0,1,3,5,5,45.45454545,2,15,10,25,2,0,45,0,0,0
